,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
171,13.406,24.0,18000.0,21.0,1.1,1050,3226989,18002.0,109.459,1,D10_Z1,2021-01-22T17:47:36.798Z,1,9.5
172,13.218,24.0,18000.0,21.0,1.0,1051,3234981,17990.0,109.459,1,D10_Z1,2021-01-22T17:48:56.720Z,1,9.5
173,13.294,23.0,18000.0,21.0,1.4,1052,3253222,18005.0,109.459,1,D10_Z1,2021-01-22T17:51:59.133Z,1,9.5
174,13.324,14.0,18000.0,14.0,0.9,1053,3320462,18002.0,109.459,1,D10_Z1,2021-01-25T16:42:16.241Z,1,9.325
175,13.294,15.0,18000.0,15.0,0.7,1054,3357510,18004.0,109.459,1,D10_Z1,2021-01-25T16:48:26.727Z,1,9.325
176,13.294,22.0,5000.0,18.0,0.2,1055,3375643,4997.0,123.61,1,PUNTA_D6-8,2021-01-25T16:51:28.060Z,1,6.8
177,13.324,23.0,5500.0,19.0,0.3,1056,3380417,5500.0,127.32,1,PUNTA_D5,2021-01-25T16:52:15.801Z,1,5.0
178,13.494,14.0,5000.0,14.0,0.3,1057,3635764,5000.0,123.61,1,PUNTA_D6-8,2021-01-25T17:34:49.316Z,1,6.8
179,13.189,14.0,5500.0,14.0,0.3,1058,3639490,5499.0,127.32,1,PUNTA_D5,2021-01-25T17:35:26.577Z,1,5.0
180,13.312,16.0,5000.0,14.0,0.3,1059,3644257,5002.0,117.779,1,PUNTA_D5_Z1,2021-01-25T17:36:14.248Z,1,4.0
181,13.417,17.0,18000.0,14.0,1.1,1060,3650571,18004.0,109.459,1,D10_Z1,2021-01-25T17:37:17.389Z,1,9.325
182,13.142,15.0,5000.0,15.0,0.3,1061,3727948,4997.0,123.61,1,PUNTA_D6-8,2021-01-25T17:50:11.173Z,1,6.8
183,13.388,16.0,5500.0,15.0,0.3,1062,3731186,5500.0,127.32,1,PUNTA_D5,2021-01-25T17:50:43.553Z,1,5.0
184,13.617,17.0,5000.0,15.0,0.3,1063,3735241,5000.0,117.779,1,PUNTA_D5_Z1,2021-01-25T17:51:24.104Z,1,4.0
185,13.236,18.0,18000.0,15.0,0.8,1064,3739740,18009.0,109.459,1,D10_Z1,2021-01-25T17:52:09.095Z,1,9.325
186,13.171,15.0,18000.0,15.0,0.7,1065,3847284,18012.0,109.459,1,D10_Z1,2021-01-25T18:10:04.554Z,1,9.5
187,13.283,17.0,18000.0,16.0,0.7,1066,3887361,18004.0,109.459,1,D10_Z1,2021-01-25T18:16:45.331Z,1,9.15
188,13.294,19.0,18000.0,17.0,0.7,1067,3912449,18005.0,109.459,1,D10_Z1,2021-01-25T18:20:56.215Z,1,9.1
189,13.371,20.0,18000.0,18.0,0.7,1068,3932868,18005.0,109.459,1,D10_Z1,2021-01-25T18:24:20.409Z,1,9.1
190,13.388,13.0,5000.0,14.0,1.0,1069,1683735,17999.0,123.61,1,PUNTA_D6-8,2021-01-26T10:47:35.145Z,1,6.8
191,13.294,14.0,5000.0,14.0,0.3,1070,1687847,6003.0,127.32,1,PUNTA_D5,2021-01-26T10:48:16.265Z,1,5.0
192,13.494,15.0,18000.0,14.0,0.8,1071,1692129,18009.0,109.459,1,D10_Z1,2021-01-26T10:48:59.086Z,1,9.1
193,13.359,22.0,5000.0,18.0,0.2,1072,1710446,3499.0,114.0,1,PUNTA_D4,2021-01-26T10:52:02.259Z,1,4.0
194,24.679,15.0,625.0,15.0,0.4,1073,2443028,633.0,121.459,1,MASCHIO_M8,2021-01-26T12:54:08.198Z,1,8.0
195,36.369,15.0,625.0,15.0,0.1,1073,2443412,624.0,121.459,1,MASCHIO_M8,2021-01-26T12:54:12.038Z,1,8.0
196,13.482,15.0,5000.0,15.0,0.8,1074,118061,17999.0,123.61,1,PUNTA_D6-8,2021-01-26T13:39:48.423Z,1,6.8
197,13.341,16.0,5000.0,16.0,0.2,1075,120767,6001.0,127.32,1,PUNTA_D5,2021-01-26T13:40:15.484Z,1,5.0
